,Market Name,1,2,3,4,5,Max,Volume,Last price
55,ENJBTC,1.3,1.21,1.23,1.22,1.17,1.3,59.83,0.00000730
56,RDNBTC,1.3,1.21,1.23,1.22,1.17,1.3,56.68,0.00001770
57,SNMBTC,1.3,1.21,1.23,1.22,1.16,1.3,55.3,0.00000147
58,GTOBTC,1.3,1.21,1.23,1.22,1.16,1.3,51.16,0.00000161
59,XTZBTC,1.3,1.21,1.23,1.22,1.16,1.3,50.98,0.00009640
60,HCBTC,1.3,1.21,1.23,1.22,1.16,1.3,50.39,0.00021170
64,ADXBTC,1.3,1.21,1.24,1.22,1.16,1.3,47.29,0.00000894
65,SNGLSBTC,1.3,1.21,1.24,1.22,1.16,1.3,46.85,0.00000105
66,PERLBTC,1.3,1.21,1.24,1.22,1.16,1.3,45.93,0.00000320
67,DOGEBTC,1.3,1.21,1.29,1.27,1.2,1.3,45.08,0.00000028
68,AIONBTC,1.3,1.22,1.29,1.27,1.2,1.3,44.94,0.00000955
69,MDABTC,1.3,1.22,1.29,1.27,1.19,1.3,44.52,0.00007869
70,NULSBTC,1.3,1.22,1.29,1.27,1.19,1.3,41.17,0.00004425
71,VIBBTC,1.3,1.22,1.29,1.27,1.19,1.3,40.13,0.00000257
72,CELRBTC,1.3,1.22,1.29,1.27,1.19,1.3,39.69,0.00000049
73,NANOBTC,1.3,1.22,1.29,1.27,1.19,1.3,37.35,0.00009370
74,STORJBTC,1.3,1.22,1.29,1.27,1.19,1.3,36.8,0.00001549
75,XVGBTC,1.3,1.22,1.3,1.27,1.2,1.3,35.64,0.00000042
76,MTHBTC,1.3,1.22,1.3,1.27,1.2,1.3,35.54,0.00000160
77,ARNBTC,1.3,1.22,1.3,1.27,1.2,1.3,33.94,0.00002037
78,DGDBTC,1.3,1.22,1.3,1.28,1.2,1.3,33.67,0.00138300
79,WAVESBTC,1.3,1.22,1.3,1.28,1.2,1.3,32.58,0.00008690
80,WABIBTC,1.3,1.22,1.3,1.28,1.21,1.3,32.57,0.00001839
26,BATBTC,1.29,1.21,1.18,1.18,1.13,1.29,233.6,0.00002631
27,ADABTC,1.29,1.2,1.18,1.18,1.13,1.29,229.69,0.00000462
28,BEAMBTC,1.29,1.2,1.19,1.18,1.13,1.29,216.82,0.00007780
29,AEBTC,1.29,1.21,1.19,1.19,1.14,1.29,180.98,0.00002654
30,COSBTC,1.29,1.2,1.19,1.18,1.13,1.29,165.34,0.00000178
31,IOSTBTC,1.29,1.19,1.18,1.18,1.14,1.29,160.61,0.00000072
32,ALGOBTC,1.29,1.2,1.19,1.19,1.14,1.29,157.94,0.00002764
33,DUSKBTC,1.29,1.2,1.19,1.2,1.15,1.29,156.05,0.00000636
34,LENDBTC,1.29,1.2,1.2,1.2,1.15,1.29,144.14,0.00000149
35,WTCBTC,1.29,1.2,1.2,1.2,1.15,1.29,141.66,0.00008350
43,RLCBTC,1.29,1.2,1.21,1.22,1.17,1.29,95.63,0.00006857
44,ZRXBTC,1.29,1.21,1.22,1.22,1.17,1.29,90.56,0.00003181
45,DASHBTC,1.29,1.21,1.22,1.22,1.17,1.29,88.85,0.00780300
46,HOTBTC,1.29,1.21,1.22,1.22,1.17,1.29,83.25,0.00000009
47,ETCBTC,1.29,1.22,1.23,1.23,1.17,1.29,78.78,0.00053340
48,INSBTC,1.29,1.22,1.23,1.22,1.16,1.29,78.24,0.00002094
49,ZECBTC,1.29,1.22,1.23,1.22,1.17,1.29,78.03,0.00407700
50,XEMBTC,1.29,1.22,1.23,1.22,1.17,1.29,76.63,0.00000451
51,PHBBTC,1.29,1.21,1.23,1.22,1.17,1.29,76.23,0.00000069
52,ONEBTC,1.29,1.2,1.22,1.22,1.17,1.29,68.25,0.00000061
61,ENGBTC,1.29,1.21,1.23,1.22,1.16,1.29,50.19,0.00003316
62,ICXBTC,1.29,1.21,1.23,1.22,1.17,1.29,49.38,0.00001824
63,THETABTC,1.29,1.21,1.24,1.22,1.16,1.29,48.01,0.00001010
0,BNBBTC,0.67,1.27,1.28,1.17,0.94,1.28,2431.37,0.00221190
36,IOTABTC,1.28,1.2,1.2,1.2,1.15,1.28,125.8,0.00002931
37,DCRBTC,1.28,1.2,1.19,1.2,1.15,1.28,124.08,0.00227500
38,BANDBTC,1.28,1.2,1.19,1.2,1.15,1.28,118.25,0.00003675
39,FTMBTC,1.28,1.2,1.19,1.2,1.15,1.28,114.97,0.00000142
40,AMBBTC,1.28,1.2,1.2,1.2,1.15,1.28,106.53,0.00000344
41,KMDBTC,1.28,1.2,1.2,1.2,1.16,1.28,100.58,0.00007500
42,VETBTC,1.28,1.2,1.21,1.21,1.17,1.28,98.69,0.00000045
3,ETHBTC,1.06,1.26,1.24,1.25,1.12,1.26,2186.25,0.02005100
4,CHZBTC,1.05,1.24,1.14,1.18,1.09,1.24,1482.99,0.00000192
